"","subject_idx","response","rt","response_key","zConf","strength_corr","strenght_chosen"
"174",1232,1,1.20252289964,"left",0.0580847514043822,0.199411296669087,0.199411296669087
"175",1232,1,1.00249149637,"right",-0.26992325652625,0.00498046006476691,0.00498046006476691
"176",1232,1,1.35280601259,"right",0.304090757352356,0.0180764727698472,0.0180764727698472
"177",1232,1,0.968677234168,"right",0.837103770239632,-0.0416847514713797,-0.0416847514713797
"178",1232,1,0.952015583302,"right",0.427093760326343,0.144856224235766,0.144856224235766
"179",1232,1,1.03560345186,"right",-0.228922255534921,0.0995173938482441,0.0995173938482441
"180",1232,1,0.785078215179,"left",0.796102769248304,0.0163965333863422,0.0163965333863422
"181",1232,1,2.02081433445,"left",-1.49995328626612,-0.083412399198481,-0.083412399198481
"182",1232,1,0.818482300676,"left",0.673099766274317,-0.0141224935302713,-0.0141224935302713
"183",1232,0,0.91864392509,"right",0.509095762309001,-1.52439953902158e-05,1.52439953902158e-05
"184",1232,1,0.901937046693,"left",0.55009676330033,0.115374876195177,0.115374876195177
"185",1232,0,0.851886670623,"right",-1.54095428725745,0.271556428304195,-0.271556428304195
"186",1232,1,0.952618332566,"right",0.468094761317672,-0.0408834868139242,-0.0408834868139242
"187",1232,0,1.88719344127,"right",1.16511177817027,-0.0819496484318946,0.0819496484318946
"188",1232,1,0.751704281369,"left",1.16511177817027,0.166358574188416,0.166358574188416
"189",1232,1,0.63478941323,"left",1.16511177817027,-0.333272215855818,-0.333272215855818
"190",1232,1,0.635294311743,"left",1.16511177817027,0.225789110105824,0.225789110105824
"191",1232,0,2.07082915429,"left",-1.49995328626612,0.15160895205371,-0.15160895205371
"192",1232,1,2.40483729752,"left",-0.63893226544821,0.1870796202546,0.1870796202546
"193",1232,1,1.0689153756,"left",0.673099766274317,-0.197986128644201,-0.197986128644201
"194",1232,1,1.50310562363,"left",-0.474928261482894,-0.0192566475406051,-0.0192566475406051
"195",1232,1,1.97069654376,"right",-1.17194527833549,0.0141303170243593,0.0141303170243593
"196",1232,1,1.48642576797,"right",-0.228922255534921,0.0314303807981396,0.0314303807981396
"197",1232,0,1.18602310074,"left",-0.351925258508908,-0.232820862024939,0.232820862024939
"198",1232,1,0.768522379662,"right",1.16511177817026,-0.0070093250798368,-0.0070093250798368
"199",1232,1,1.08567658392,"left",0.263089756361027,0.121951041054395,0.121951041054395
"200",1232,1,0.735487225641,"left",1.12411077717894,-0.0780800431292961,-0.0780800431292961
"201",1232,1,1.03593085365,"left",0.55009676330033,0.119904220635424,0.119904220635424
"202",1232,0,1.0690146486,"right",-1.17194527833549,0.159867185722465,-0.159867185722465
"203",1232,1,0.684627589703,"left",1.16511177817027,-0.0415269591589246,-0.0415269591589246
"204",1232,1,1.08562595184,"right",1.00110777420495,-0.0713003586131583,-0.0713003586131583
"205",1232,1,0.969349958101,"left",0.796102769248304,-0.0065053490780204,-0.0065053490780204
"206",1232,1,1.15245545657,"left",-0.269923256526249,-0.0526453140933563,-0.0526453140933563
"207",1232,1,1.01889600456,"left",0.0990857523957112,-0.17894340734815,-0.17894340734815
"208",1232,1,1.30276701451,"left",0.673099766274317,-0.00375200360011208,-0.00375200360011208
